epoch,acc,loss,lr,val_acc,val_loss
0,0.5590866290018832,0.7518624199761285,1e-04,0.3665254237288136,0.8032067150382672
1,0.5572033898305084,0.7401089371934448,1e-04,0.6451271186440678,0.6485241626278829
2,0.5756826741996234,0.7259020350185941,1e-04,0.6430084745762712,0.6506449509475191
3,0.5759180790960452,0.717839048407172,1e-04,0.6440677966101694,0.6502109033576513
4,0.5843926553672316,0.7114763012938131,1e-04,0.6430084745762712,1.0671493517140211
5,0.6000470809792844,0.6924100034429977,1e-04,0.6472457627118644,0.6795691506842435
6,0.6227636534839924,0.6716361781634853,1e-04,0.5815677966101694,0.6998430621826043
7,0.649482109227872,0.6384563377572543,1e-04,0.600635593220339,0.759835076786704
8,0.6895009416195856,0.5929267950033289,1e-04,0.5738983050847458,0.7658919803166794
9,0.7268126177024482,0.5442771703397712,1e-04,0.5720338983050848,0.7152312382803125
10,0.7620056497175142,0.49092163907437675,1e-04,0.590042372881356,0.8040998560392251
11,0.809322033898305,0.4295814702403074,1e-04,0.5933050847457628,0.8427841807320967
12,0.8471045197740112,0.3660444100361086,1e-04,0.5940254237288136,0.8540733557636455
13,0.920786252354049,0.23485397999990457,8e-05,0.583771186440678,0.9630611382298551
14,0.973987758945386,0.12582562557595262,8e-05,0.6008050847457627,1.2560171212180187
15,0.9910546139359698,0.06278057333446772,8e-05,0.5671610169491525,1.2560386329384174
16,0.9979990583804144,0.03452887642504244,8e-05,0.5886016949152542,1.100361974815191
17,0.9994114877589454,0.019578924995413832,8e-05,0.5540254237288136,1.2071629253736997
18,0.9996468926553672,0.01105638955484746,8e-05,0.5860169491525424,1.2478913488024372
19,1.0,0.006200525611060235,8e-05,0.588135593220339,1.291884710980674
20,1.0,0.004091633425176182,8e-05,0.605677966101695,1.3430245190353718
21,0.9981167608286252,0.011337869940775055,8e-05,0.6279661016949153,1.300097776267488
